uname,filename,status,fullname,affil
ssantra,,,"Dr. Satyaranjan Santra","Nuclear Physics Division, Bhabha Atomic Research Centre"
anjali010,,,"Prof. Anjali Mukherjee","Nuclear Physics Division, Saha Institute of Nuclear Physics"
harphool,,,"Dr. Harphool Kumawat","Nuclear Physics Division, Bhabha Atomic Research Centre"
chandana,,,"Dr. Chandana Bhattacharya","Physics Group, Variable Energy Cyclotron Centre"
subirnath,,,"Mr. Subir Nath","Nuclear Physics Group, Inter University Accelerator Centre"
numerical,paper501.pdf,Poster,"Mr. Ajay Kumar","Department of Physics, Banaras Hindu University"
tkrana,paper564.pdf,Poster,"Mr. Tapan Kumar Rana","Physics Group, Variable Energy Cyclotron Centre"
shilpa,paper150.pdf,Poster,"Ms. S.P. Shilpashree","Physics, Christ University"
aksikdar,paper216.pdf,Poster,"Mr. Arindam Kumar Sikdar","Experimental Physics Group, Variable Energy Cyclotron Centre"
sahakinkar,paper513.pdf,Poster,"Mr. Kinkar Saha","Department of Physics, University of Calcutta"
rupinder,paper470.pdf,Poster,"Ms. Rupinder Kaur","Department of Physics, Punjabi University"
kumarrajiv,paper280.pdf,Poster,"Mr. Rajiv Kumar","Department of Physics, Govt College for Women"
prath,paper112.pdf,Poster,"Mr. Prasanta Rath","Manipal Centre for Natural Sciences, Manipal University"
mnandy07,paper052.pdf,Poster,"Prof. Maitreyee Nandy","Chemical Sciences Division, Saha Institute of Nuclear Physics"
anamika_p,,,"Ms. Anamika Parihari","Nuclear Physics Group, Inter University Accelerator Centre"
madhavnsc,,,"Mr. N Madhavan","Nuclear Physics Group, Inter University Accelerator Centre"
edayillam,,,"Mr. E. Prasad","Department of Physics, Central University of Kerala"
jithinbp,paper153.pdf,Poster,"Mr. Jithin Bhagavathi","Physics and Astronomical Sciences, Central University of Himachal Pradesh"
amar,paper603.pdf,Poster,"Mr.  Amarnadh R U","Department of Physics, University College"
hariom,,,"Mr.  Hariom","Nuclear Physics Division, Bhabha Atomic Research Centre"
swagato,paper174.pdf,Poster,"Mr. Swagata Mallik","Physics Group, Variable Energy Cyclotron Centre"
bivash,paper669.pdf,Unknown,"Dr. Bivash Ranjan Behera","Department of Phyiscs, Panjab University"
mvenaruzzo,,,"Dr. Massimo Venaruzzo"," , Caen Spa"
samit01,,,"Dr. Samit Kr. Mandal","Department of Physics & Astrophysics, University of Delhi"
pawan,,,"Dr. Pawan Kumar Netrakanti","Nuclear Physics Division, Bhabha Atomic Research Centre"
dipakk,,,"Dr. D K  Mishra","Nuclear Physics Division, Bhabha Atomic Research Centre"
mala10,,,"Dr. Mala Das","Astroparticle Physics & Cosmology, Saha Institute of Nuclear Physics"
arunv,,,"Dr. V Arunprasath"," , The Institute of Mathematical Sciences"
puspita,paper301.pdf,Poster,"Ms. Puspita Ray","Instrumentation & Applied Physics, Indian Institute of Science"
jjdas,,,"Dr. Jiban Jyoti Das","National Superconducting Cyclotron Laboratory, Michigan State University"
bhanu,,,"Ms. Bhawna Pandey","Department of Physics, G. B. Pant University"
kousik,,,"Mr. Kousik Naskar","Department of Physics, Indian Institute of Technology Bombay"
arshadhep,,,"Dr. Arshad Kamal","Department of Physics,  Shibli National Pg College"
venktesh,paper043.pdf,Poster,"Dr. Venktesh Singh","Department of Physics,  School of Physical & Chemical Sciences"
ishfaq333,paper317.pdf,Poster,"Mr. Ishfaq Ahmad Rather","Department of Phyiscs, Aligarh Muslim University"
sushil.phy,paper537.pdf,Poster,"Mr. Sushil Kumar","Nuclear Physics Group, Inter University Accelerator Centre"
rahul720,,,"Mr. Rahul Pandey","Department of Physics, K. J. Somaiya College of Science and Commerce"
ishfaq333,paper317.pdf,Poster,"Mr. Ishfaq Ahmad Rather","Department of Phyiscs, Aligarh Muslim University"
bushraali,,,"Ms. Bushra Ali","Department of Phyiscs, Aligarh Muslim University"
suhailtali,paper209.pdf,Poster,"Mr. Suhail Ahmad Tali","Department of Phyiscs, Aligarh Muslim University"
