uname,filename,status,fullname,affil
ashif_reza,paper332.pdf,Poster,"Dr. Ashif Reza","Department of Nuclear & Atomic Physics, Tata Institute of Fundamental Research"
shaista,paper388.pdf,Poster,"Ms. Shaista Khan","Department of Phyiscs, Aligarh Muslim University"
aman95,,,"Ms. Amandeep Kaur","Applied Sciences, Thapar Polytechnic College"
kasthuri,,,"Ms.  R Kasthuri","Department of Physics, Avinashilingam Deemed University for Women"
kawalpreet,paper342.pdf,Poster,"Ms. Kawalpreet Kalra","Amity Institute of Nuclear Science and Technology, Amity University^ Noida"
dr.goela,,,"Dr. Alpana Goel","Amity Institute of Nuclear Science and Technology, Amity University^ Noida"
sidy,paper344.pdf,Poster,"Mr. Siddarth Rai","Physics Department, Visva-Bharati"
rahul,paper361.pdf,Poster,"Mr. Rahul Chhabra","Department of Physics, Dr B. R. Ambedkar National Institute of Technology"
hajara,paper351.pdf,Poster,"Ms. K Hajara","Department of Physics, University of Calicut"
cosmosman,paper355.pdf,Poster,"Mr. Manish Rawat","Department of Physics, Indian Institute of Technology Roorkee"
ruchi,paper508.pdf,Poster,"Ms. Ruchi Mahajan","Department of Phyiscs, Panjab University"
shettyn93,paper410.pdf,Poster,"Ms. Nidhi Shetty","Department of Physics, The Maharaja Sayajirao University of Baroda"
dgrover,,,"Ms. Deepika Grover","Department of Physics, Banaras Hindu University"
vishalkmr,paper048.pdf,Poster,"Mr. Vishal Kumar","Applied Nuclear Physics Division, Saha Institute of Nuclear Physics"
8284085667,,,"Ms. Vaishali Guleria","Department of Physics, Chandigarh University"
kalyani,paper365.pdf,Poster,"Ms.  Kalyani","Department of Physics, Indian Institute of Technology Roorkee"
vhkher,paper370.pdf,Poster,"Mr. Virendrasinh Kher","Applied Physics Department^ Faculty of Technology & Engg., The M. S. University of Baroda"
bushraali,,,"Ms. Bushra Ali","Department of Phyiscs, Aligarh Muslim University"
subrat,paper392.pdf,Poster,"Mr. Subrat Biswal"," , Key Laboratory of Theoretical Physics"
debasishm,paper063.pdf,ThesisPoster,"Mr. Debasish Mondal","Physics Group, Variable Energy Cyclotron Centre"
smthakur,paper393.pdf,Poster,"Ms. Smriti Thakur","Department of Physics, Himachal Pradesh University"
saahila,paper401.pdf,Poster,"Ms. Sahila Chopra","Department of Phyiscs, Panjab University"
aniruddha,paper403.pdf,Poster,"Mr. Aniruddha Dey","Physics Department, Visva-Bharati"
malika,paper412.pdf,Poster,"Ms. Malika Kaushik","Physics, Indian Institute of Technology Ropar"
shashank14,paper415.pdf,Poster,"Mr. Shashank Singh","Department of Phyiscs, Panjab University"
aparajita7,paper421.pdf,Poster,"Ms. Aparajita Mazumdar","India-Based Neutrino Observatory, Tata Institute of Fundamental Research"
sandya,paper442.pdf,Poster,"Ms. Parabathula Sandya Devi","Nuclear Physics Department, Andhra Universtiy"
bijan,paper600.pdf,Poster,"Mr. Bijan Kumar Gangopadhyay","Department of Physics, Sovarani Memorial College"
ranidevi,paper448.pdf,Poster,"Dr. Rani Devi","Department of Physics, University of Jammu"
mayur,paper558.pdf,Poster,"Mr. Mayur Mehta","Department of Physics, The Maharaja Sayajirao University of Baroda"
ishita22,paper419.pdf,Poster,"Ms. Ishita Sharma","School of Physics & Material Science, Thapar University"
amandeep,paper565.pdf,Poster,"Ms. Amandeep Kaur","School of Physics & Material Science, Thapar University"
shivani,paper394.pdf,Poster,"Ms. Shivani Jain","School of Physics & Material Science, Thapar University"
kapilbhu,paper476.pdf,Poster,"Dr. Kapil Saraswat","Department of Physics, Banaras Hindu University"
farhantifr,paper477.pdf,Poster,"Mr. Farhan Sabir Babra","Department of Nuclear & Atomic Physics, Tata Institute of Fundamental Research"
krati,,,"Ms. Krati Gupta","Electronics Division, Bhabha Atomic Research Centre"
duggi,paper486.pdf,Poster,"Mr. D.V.G.R.K Siva Kumar","Nuclear Physics Department, Andhra Universtiy"
abhinav,paper487.pdf,Poster,"Mr.  Abhinav Kumar","Nuclear Physics Division, Bhabha Atomic Research Centre"
rnpanda,paper489.pdf,Poster,"Mr. Rabinarayan Panda","Department of Physics, ITER^ Siksha O Anusandhan University"
sabir,paper492.pdf,Poster,"Mr. Sabir Ali","Darbhanga Polytechnic, Maulana Azad National Urdu University"
awadh_81,paper520.pdf,Poster,"Mr. Awadh Singh","Technical Physics Division, Bhabha Atomic Research Centre"
muttu,paper506.pdf,Poster,"Mr. Mutturaj Hosamani","Department of Physics, Karnatak University"
pingaldg,paper562.pdf,Poster,"Mr. Pingal Dasgupta","Theoretical Physics Division, Variable Energy Cyclotron Centre"
suryoday,paper525.pdf,Poster,"Mr. Nishant Kumar","Nuclear Physics Division, Bhabha Atomic Research Centre"
sushil.phy,paper537.pdf,Poster,"Mr. Sushil Kumar","Nuclear Physics Group, Inter University Accelerator Centre"
divyanair,paper573.pdf,Poster,"Ms. Divya Divakaran","Nuclear Physics Division, Bhabha Atomic Research Centre"
rohit708,paper532.pdf,Poster,"Mr. Rohit Kumar","Department of Phyiscs, Panjab University"
ekatanandy,paper620.pdf,Poster,"Ms. Ekata Nandy","Experimental High Energy Physics and Applications Group, Variable Energy Cyclotron Centre"
khaki,paper548.pdf,Poster,"Mr. Ishtiaq Ahmed","Nuclear Physics Group, Inter University Accelerator Centre"
bhargav,paper184.pdf,Poster,"Mr. Bhargav Soni","Department of Physics, The M. S. University of Baroda"
indu,,,"Ms. Indu Bala"," , Inter University Accelerator Centre"
akashrup,paper579.pdf,Poster,"Mr. Akashrup Banerjee","Department of Physics & Astrophysics, University of Delhi"
efragiac,paper686.pdf,Unknown,"Dr. Enrico Fragiacomo","Sezione Trieste, Istituto Nazionale Fisica Nucleare"
dinesh,paper582.pdf,Poster,"Mr. Dinesh Negi","Physics, Centre for Excellence in Basic Sciences"
mitul,paper654.pdf,ThesisPoster,"Mr. Morker Mitulkumar","Department of Physics, Veer Narmad South Gujarat University"
sibsankar,paper583.pdf,Poster,"Mr. S. S. Sikder","Electronics Division, Bhabha Atomic Research Centre"
prateek,paper613.pdf,Poster,"Mr. Prateek Arora","Department of Physics & Astrophysics, University of Delhi"
angadaria1,paper631.pdf,Poster,"Mr. Akshay N Gadaria","Applied Physics Department^ Faculty of Technology & Engg., The M. S. University of Baroda"
manoj,paper005.pdf,Poster,"Mr. Manoj Kumar Singh","Department of Physics, Banaras Hindu University"
maheshji,paper247.pdf,Poster,"Mr. Mahesh Kumar"," , S. V. College"
midhuncv,paper371.pdf,Poster,"Mr. C.V Midhun","Department of Physics, University of Calicut"
abhi@123,paper425.pdf,Poster,"Mr. Abhijit  Roy","Instrumentation for Space Exploration, Indian Centre for Space Physics"
preet2012,paper199.pdf,Poster,"Ms. Manpreet Kaur"," , Institute of Physics"
kokilaphy,paper268.pdf,Poster,"Ms. C Kokila","Department of Phyics, Bharathiar University"
karthi,paper251.pdf,Poster,"Ms. C Karthika","Department of Phyics, Bharathiar University"
mkakavand,paper626.pdf,Poster,"Prof. Tayeb Kakavand","Physics, Imam Khomeini International University"
deepak,paper090.pdf,Poster,"Dr. Deepak Pandit","Physics Group, Variable Energy Cyclotron Centre"
keerthika,,,"Ms. B Keerthika","Department of Physics, Avinashilingam Deemed University for Women"
kabana,,,"Prof. Sonia Kabana","Plasma, Subatech"
monica,,,"Ms.  Monica","Department of Physics, Dr B. R. Ambedkar National Institute of Technology"
anshul,,,"Mr. Anshul Dadwal","Department of Physics, Dr B. R. Ambedkar National Institute of Technology"
srish1610,,,"Ms. Srishti Nagu","Department of Physics, University of Lucknow"
pankaj,,,"Mr. Pankaj Giri","Department of Physics, Central University of Jharkhand^ Brambe"
sameer,,,"Mr. Sameer Bhatt","Nuclear Physics Division, Bhabha Atomic Research Centre"
mahen1603,,,"Mr. Mahendra Kushwaha","Nuclear Physics Division, Bhabha Atomic Research Centre"
smritiphys,paper295.pdf,Poster,"Ms. Smruti Patel","Government Science College^ Songadh^ Tapi, Veer Narmad South Gujarat University"
aattri,paper549.pdf,Poster,"Ms. Anjali Attri","Department of Phyiscs, Panjab University"
sonia,paper616.pdf,Poster,"Ms. Sonia Parmar","Department of Phyiscs, Panjab University"
anjali217,,,"Ms. Anjali Sharma","Department of Phyiscs, Panjab University"
kundan30,,,"Mr. Kundan Kumar Vishwakarma","School of Physics & Material Science, Thapar University"
shamlath,paper655.pdf,ThesisPoster,"Ms. Shamlath  A","Department of Physics, Central University of Kerala"
ratindra03,,,"Mr. Ratindra Gautam","Department of Applied Physics, Babasaheb Bhimrao Ambedkar University"
anil,,,"Dr. Anil Kumar","Department of Applied Science (Physics), Dr. Abdul Kalam Technical University"
devesh,paper605.pdf,Poster,"Mr. Devesh Kumar","Physics Group, Variable Energy Cyclotron Centre"
ashkumar,,,"Prof. A. K. Jain","Amity Institute of Nuclear Science and Technology, Amity University^ Noida"
swatigarg,paper649.pdf,ThesisPoster,"Ms.  Swati","Department of Physics, Indian Institute of Technology Roorkee"
jagbir,,,"Mr. Jagbir Singh","Department of Phyiscs, Panjab University"
shashank,paper021.pdf,Poster,"Dr. Shashank Bhatnagar","Department of Physics, Chandigarh University"
uday,paper115.pdf,Poster,"Mr. Uday Shankar Ghosh","Physics Department, Visva-Bharati"
kironmoy,paper424.pdf,Poster,"Mr. Kironmoy Mandal","Physics Department, Visva-Bharati"
amit123,paper366.pdf,Poster,"Mr. Amit Kumar Mondal","Physics Department, Visva-Bharati"
snehalinda,,,"Ms. Sneha Linda","Centre for Applied Physics, Central University of Jharkhand"
piyasi,paper516.pdf,Poster,"Ms. Piyasi Biswas","Nuclear Physics Division, Saha Institute of Nuclear Physics"
shana,paper465.pdf,Poster,"Ms. A.T. Fathima Shirin Shana","Department of Physics, University of Calicut"
saniya,paper218.pdf,Poster,"Ms. Saniya Monga","Department of Physics, Guru Nanak Dev University"
mahfuzur01,paper101.pdf,Poster,"Mr. Mahfuzur Rahaman","Physics Group, Variable Energy Cyclotron Centre"
gulshan,paper420.pdf,Poster,"Dr. Gulshan Mahajan","Physics, Government College"
nehasharma,paper289.pdf,Poster,"Ms. Neha Sharma","Applied Sciences, C. T. Institute of Engineering^ Management Andtechnology"
crpraharaj,,,"Prof. C. R. Praharaj"," , Institute of Physics"
tasleem,paper141.pdf,Poster,"Mr. Tasleem Ahmad Siddiqui","Department of Phyiscs, Aligarh Muslim University"
aqphy,paper457.pdf,Poster,"Mr. Abdul Quddus ","Department of Phyiscs, Aligarh Muslim University"
sun123,paper024.pdf,Poster,"Mr. Sunil Dutt","Department of Phyiscs, Aligarh Muslim University"
marooz,,,"Mr. Salman Khurshid Malik","Department of Physics, University of Jammu"
amrendra,,,"Mr. Amrendra  Kumar","Department of Physics, University of Lucknow"
rajdeep,,,"Dr. Rajdeep Chatterjee","Department of Physics, Indian Institute of Technology Roorkee"
nisha,,,"Ms. Nisha Chauhan","Department of Physics, Veer Narmad South Gujarat University"
appu,paper475.pdf,Poster,"Mr. Appannababu S","Nuclear Physics Department, Andhra Universtiy"
saumi,paper007.pdf,Poster,"Ms. Saumi Dutta","Department of Physics, University of Calcutta"
farhana,paper414.pdf,Poster,"Ms. Farhana Zaidi","Department of Phyiscs, Aligarh Muslim University"
kpanjali,,,"Ms. Anjali K P","Department of Physics, Govt. Brennen College"
dharmesh,paper657.pdf,ThesisPoster,"Mr. Dharmesh Rathaud","Applied Physics Department, Sardar Vallabhbhai National Institute of Technology"
sbhoi,paper263.pdf,Poster,"Ms. Swagatika Bhoi","Department of Physics, Sambalpur University"
rebecca,paper658.pdf,ThesisPoster,"Ms. Rebecca Pachuau","Department of Physics, Mizoram University"
imran08amu,paper628.pdf,Poster,"Mr. Mohd Imran","Department of Phyiscs, Aligarh Muslim University"
gurpreet,paper427.pdf,Poster,"Ms. Gurpreet Kaur","Nuclear Physics Group, Inter University Accelerator Centre"
satvir,paper279.pdf,Poster,"Ms. Satvir Kaur","Department of Physics, Dr B. R. Ambedkar National Institute of Technology"
swati,paper039.pdf,Poster,"Ms. Swati Modi","Department of Physics, Indian Institute of Technology Roorkee"
poosie,,,"Ms.  Pooja","Department of Physics, Indian Institute of Technology Roorkee"
rbs59,,,"Ms. Sheta Rina","Department of Physics, Veer Narmad South Gujarat University"
jignasha,,,"Ms. Jignasha Patel","Department of Physics, Veer Narmad South Gujarat University"
bjroy,,,"Prof. B.J. Roy","Nuclear Physics Division, Bhabha Atomic Research Centre"
puttu,paper577.pdf,Poster,"Mr. Prashant Patil","Department of Physics, Karnatak University"
eryk,paper684.pdf,Unknown,"Dr. Eryk Czerwinski","Institute of Physics, Jagiellonian University"
shrutiphy,paper530.pdf,Poster,"Ms.  Shruti","Department of Phyiscs, Panjab University"
sarbjeet,paper196.pdf,Poster,"Ms. Kaur Sarbjeet"," , Sri Guru Granth Sahib World University"
pcr0123,,,"Mr. Prakash Chandra Rout","Nuclear Physics Division, Bhabha Atomic Research Centre"
ajcudae11,,,"Dr. Antony Joseph","Department of Physics, University of Calicut"
praviphy,paper165.pdf,Poster,"Mr. Praveen P D Souza","Physics, St. Philomena College"
apm76,paper346.pdf,Poster,"Mr. Antony Prakash Monteiro","Physics, St. Philomena College"
kant,paper148.pdf,Poster,"Mr. Rishi Saxena","Department of Physics, B S a (Pg) College / Dr. B R Ambedkar University^ Agra"
be_pandya,paper127.pdf,Poster,"Ms. Bhoomika Pandya","Department of Physics, Sardar Patel University"
nirali,paper098.pdf,Poster,"Ms. Nirali Bhavsar","Department of Physics, Sardar Patel University"
om4143,paper574.pdf,Poster,"Mr. Omveer Singh","Department of Phyiscs, Aligarh Muslim University"
syama,paper522.pdf,Poster,"Ms. Syama G Nair","Department of Physics, University of Calicut"
sijim,paper509.pdf,Poster,"Ms. Siji M","Department of Physics, University of Calicut"
kishor,,,"Mr. Kishor Chandra Naik","Department of Physics, Siksha ~O~ Anusandhan University"
abhik,paper070.pdf,Poster,"Dr. Abhik Jash","School of Physical Sciences, National Institute of Science Education and Research^ Hbni"
bijurk,paper130.pdf,Poster,"Mr. R. K. Biju","Department of Physics, Pazhassi Raja n.s.s College^ Mattanur"
prathapan,,,"Prof. K Prathapan","Department of Physics, Govt. Brennen College"
jeenask,paper380.pdf,Poster,"Ms. S.K Jeena","Department of Physics, University of Calicut"
sumandeb,paper020.pdf,Poster,"Mr. Suman Deb","Department of Physics, Indian Institute of Technology Indore"
anupriya85,paper194.pdf,Poster,"Ms. Anupriya Sharma","Department of Physics, Himachal Pradesh University"
srath,paper296.pdf,Poster,"Ms. Shubhalaxmi Rath","Department of Physics, Indian Institute of Technology Roorkee"
nehananda,,,"Ms. Neha Rani","Physics Department, DCR University of Science and Technology "
nanditapan,paper560.pdf,Poster,"Dr. Tapan  Nandi"," , Inter University Accelerator Centre"
ummukulsu,paper472.pdf,Poster,"Ms. E. Ummukulsu","Department of Physics, University of Calicut"
mujeeb,paper292.pdf,Poster,"Mr. Mujeeb Hasan","Department of Physics, Indian Institute of Technology Roorkee"
gmohanto,paper266.pdf,Poster,"Ms. Gayatri Mohanto","Nuclear Physics Division, Bhabha Atomic Research Centre"
amit77,,,"Mr. Amit Kumar Chauhan","Department of Physics, Indian Institute of Technology Roorkee"
lars,paper676.pdf,Unknown,"Dr. Lars Von Der Wense","Physics, Ludwig-Maximilians-University Munich"
smehta,paper555.pdf,Poster,"Ms. Shaifali Mehta","Physics, Physikalisches Institut- Eberhard Karls Universitat TüBingen"
yashkumar,paper281.pdf,Poster,"Mr. Yash Kumar"," , Inter University Accelerator Centre"
kusuma,paper302.pdf,Poster,"Ms. M Kusuma","Physics, K. S. School of Engineering and Management"
shashibhu,,,"Mr. Shashi Shekher Tiwary","Department of Physics, Banaras Hindu University"
preethi,paper358.pdf,ThesisPoster,"Ms. M.K Preethi Rajan","P G Department of Physics & Research Centre, Payyanur College"
nchug,,,"Ms. Neha Chug","Department of Phyiscs, Panjab University"
kavitar,paper398.pdf,Poster,"Ms. Kavita Rani","Department of Phyiscs, Panjab University"
vkr.singh,paper327.pdf,Poster,"Mr. Vivek Kumar Singh","Experimental High Energy Physics and Applications Group, Variable Energy Cyclotron Centre"
misthi02,,,"Ms. Gayatri Sarkar","Department of Physics, Indian Institute of Technology Roorkee"
ashukla79,paper143.pdf,Poster,"Dr. Amritanshu Shukla"," , Rajiv Gandhi Institute of Petroleum Technology"
chandrani,,,"Ms. Chandrani Majumder","Department of Physics, Banaras Hindu University"
gnaveya,paper080.pdf,Poster,"Ms. G. Naveya","Department of Nuclear Physics, University of Madras"
aspradeep,paper091.pdf,Poster,"Dr. Arasada Srinivasa Pradeep","Department of Physics, Apiiit-R K Valley"
hsharma,paper282.pdf,Poster,"Mr. Saikat Chakraborty","Department of Physics, Banaras Hindu University"
kushmakshi,,,"Ms.  Kushmakshi","Physics and Astronomical Sciences, Central University of Himachal Pradesh"
daeanil,,,"Mr. Anil Khachi","Physics and Astronomical Sciences, Central University of Himachal Pradesh"
divyaarora,paper061.pdf,Poster,"Ms. Divya Arora","Nuclear Physics Group, Inter University Accelerator Centre"
kkaushik,paper531.pdf,Poster,"Mr. Kaushik Katre","Nuclear Physics Group, Inter University Accelerator Centre"
mithu12$,,,"Mr. Himanshu Sharma","Physics and Astronomical Sciences, Central University of Himachal Pradesh"
gsarwar,paper118.pdf,Poster,"Mr. Golam Sarwar","Department of Physics, Indian Institute of Technology Indore"
singhrk,paper544.pdf,Poster,"Mr. Ratankumar Singh","Department of Physics, The Maharaja Sayajirao University of Baroda"
singh.moti,paper274.pdf,Poster,"Dr. Moti Singh","Department of Physics , Greater Noida Institute of Technology"
pankaj@hpu,paper309.pdf,Poster,"Mr. Pankaj Kumar","Department of Physics, Himachal Pradesh University"
ajaykumar,,,"Dr. Ajay Kumar Rai","Applied Physics Department, Sardar Vallabhbhai National Institute of Technology"
madhuriphy,paper206.pdf,Poster,"Ms. K. Madhuri","Department of Physics, Sambalpur University"
sppphy,,,"Mr. Sanjay Prasad Pattnaik","Department of Physics, Sambalpur University"
chingi,paper276.pdf,Poster,"Mr. Yuvraj Singh","Department of Physics , Govt College"
manishak,paper319.pdf,Poster,"Ms. Manisha Kumari","Department of Physics, Dr B. R. Ambedkar National Institute of Technology"
vikas85,paper064.pdf,Poster,"Mr. Vikas Kumar","Physics, Central University of Kashmir Srinagar "
uttamp,paper505.pdf,Poster,"Dr. U. K. Pal","Nuclear Physics Division, Bhabha Atomic Research Centre"
rupak,,,"Prof. Rupak Mahapatra","Nuclear Physics, Cyclotron Institute^ Texas a&M University"
pragya,paper399.pdf,Poster,"Prof. Pragya Das","Physics, Indian Institute of Technology Bombay"
nkumar,paper480.pdf,Poster,"Mr. Neeraj Kumar","Department of Physics & Astrophysics, University of Delhi"
amritraj,,,"Mr. Amritraj Mahato","Department of Physics, Central University of Jharkhand^ Brambe"
rasehgal,paper479.pdf,Poster,"Mr. Raman Sehgal","Nuclear Physics Division, Bhabha Atomic Research Centre"
harun,,,"Mr. Harun Al Rashid","Department of Physics, Gauhati University"
ykgupta,paper567.pdf,Poster,"Mr. Y. K. Gupta","Nuclear Physics Division, Bhabha Atomic Research Centre"
msilarski,paper674.pdf,Unknown,"Dr. Michal Silarski","Institute of Physics, Jagiellonian University"
pbano786,,,"Ms. Parveen Bano","Department of Physics, Sambalpur University"
ranjannn,,,"Mr. Ranjan Sariyal","Department of Phyiscs, Panjab University"
rajgupta,,,"Mr.  Raj Kumar","Spms, Thapar Institute of Engineering and Technology"
rankasahu,paper129.pdf,Poster,"Prof. R. Sahu"," , National Institute of Science and Technology"
manan,paper139.pdf,Poster,"Mr. Manan Shah","Department of Physics, Sardar Patel University"
somsundar,paper469.pdf,Poster,"Dr. Somsundar Mukhopadhyay","Nuclear Physics Division, Bhabha Atomic Research Centre"
shefalip,paper154.pdf,Poster,"Ms. Shefali Prabhakar","Department of Physics, Guru Nanak Dev University"
meenu,paper449.pdf,Poster,"Ms. Meenu Thakur","Department of Phyiscs, Panjab University"
ritwika,,,"Dr. Ritwika Chakrabarti","Department of Physics, University of Mumbai"
vvparkar,,,"Dr. Vivek Parkar","Nuclear Physics Division, Bhabha Atomic Research Centre"
sanat,paper405.pdf,Poster,"Mr. Sanat Kumar Pandit","Nuclear Physics Division, Bhabha Atomic Research Centre"
panghal005,paper111.pdf,Poster,"Dr. Pardeep Singh","Department of Physics, Deenbandhu Chhotu Ram University of Science and Technology"
akhil,paper450.pdf,Poster,"Mr. Akhil Jhingan","Nuclear Physics Group, Inter University Accelerator Centre"
ravinder,paper610.pdf,Poster,"Dr. Ravinder Kumar","Department of Physics, Deenbandhu Chhotu Ram University of Science and Technology"
mydixit,,,"Mr. Makarand Dixit","Accelerator Control Division, Bhabha Atomic Research Centre"
sskaintura,,,"Mr. Sanjeet Kaintura","Department of Physics, Indian Institute of Technology Roorkee"
baidya93,paper586.pdf,Poster,"Mr. Baidyanath Sahoo","Department of Physics, Indian Institute of Technology Bombay"
msharma,,,"Dr. Manoj Sharma","Spms, Thapar Institute of Engineering and Technology"
rhinekumar,paper642.pdf,Poster,"Mr.  Rhine Kumar.A.K","Department of Physics, Cochin University of Science and Technology"
scbhu,,,"Mr. Saikat Chakraborty","Department of Physics, Banaras Hindu University"
dipayan,paper123.pdf,Poster,"Mr. Dipayan Chattopadhyay","Nuclear Physics Division, Bhabha Atomic Research Centre"
dhindsa_ss,paper611.pdf,Poster,"Dr. Sukhjeet Dhindsa","Physics, Akal University"
tarun,,,"Dr. Tarun Kumar Jha"," , Birla Institute of Technology & Science Pilani"
kharabraj,paper142.pdf,Poster,"Dr. Rajesh Kharab","Department of Physics, Kurukshetra University"
dipali@123,,,"Ms. Dipali Basak","Nuclear Physics Division, Saha Institute of Nuclear Physics"
rinku123,,,"Mr. Rinku Kumar Prajapat","Department of Physics, Indian Institute of Technology Roorkee"
jaideep,,,"Mr.  Jaideep","Physics Department, DCR University of Science and Technology "
usuf,paper113.pdf,Poster,"Mr. Usuf Rahaman","Department of Phyiscs, Aligarh Muslim University"
sroy,,,"Mr. Shibasis Roy","Theoretical Physics, The Institute of Mathematical Sciences"
kaur@123,paper145.pdf,Poster,"Ms. Devinder Pal  Kaur","Department of Phyiscs, Panjab University"
jayesh,,,"Mr. Jayesh George Joseph","Physics, Kannur University"
sat1994,paper523.pdf,Poster,"Ms. Sathi Sharma","Nuclear Physics Division, Saha Institute of Nuclear Physics"
musthafa,,,"Dr. Mohamed Musthafa","Department of Physics, University of Calicut"
rajeswari,paper576.pdf,Poster,"Ms. N.S. Rajeswari","Department of Physics, Avinashilingam Deemed University for Women"
shiba,paper323.pdf,Poster,"Mr. Shiba Prasad Behera","Nuclear Physics Division, Bhabha Atomic Research Centre"
greentree,paper343.pdf,Poster,"Ms. Poulomi Roy","Physics, Centre for Excellence in Basic Sciences"
shilpi,paper474.pdf,Poster,"Ms. Shilpi Gupta"," , Homi Bhabha National Institute"
indira,paper015.pdf,Poster,"Ms. G Indira ","Physics , Government College of Engineering "
smukh3,,,"Dr. Sharmistha Mukhopadhyay","Departments of Chemistry and Physics & Astronomy, University of Kentucky"
sujit,,,"Dr. S.K. Tandel","School of Physical Sciences, Um-Dae Centre for Excellence in Basic Sciences"
smruti,paper320.pdf,Poster,"Ms. Smruti Smita Lenka","Physics , Birla Institute of Technology & Science^ Pilani"
wasim,paper461.pdf,Poster,"Mr. Wasim Raja Sk","Radiochemistry Division, Bhabha Atomic Research Centre"
